,judul,konten,kategori
336,"Dear Pak Jokowi, Ini Sederet Curhat Driver Taksi Online","Perhatian pemerintah untuk driver ojek online dinilai sangat berlebihan. Sederet bantuan telah diberikan oleh pemerintah untuk para driver ojek online, dari BLT sampai diskon BBM.Sementara itu, bukan cuma ojol, driver taksi online juga butuh perhatian pemerintah. Meski sudah mendapatkan bantuan lewat program relaksasi kredit dan beberapa bantuan langsung tunai, nyatanya bantuan ini tidak maksimal.Menurut Ketum Asosiasi Driver Online (ADO) Wiwit Sudarsono, kedua program tersebut sangat sulit didapatkan para driver yang membutuhkan. Bahkan, Wiwit menyebut bantuan yang diberikan tidak sesuai harapan.""Terkait kebijakan relaksasi mungkin bisa jadi bantuan, tapi itu juga berjalan jauh dari yang kita harapkan,"" jelas Wiwit kepada detikcom, Senin (20/4/2020).Wiwit menjelaskan keinginan para driver benar-benar hanya untuk mendapatkan libur mencicil, setelah itu diberikan perpanjangan waktu menyicil. Namun kenyataannya, beberapa leasing justru meningkatkan jumlah cicilan bulanan setelah memberikan waktu libur mencicil.""Kita kan maunya skip angsuran dulu 3-6 bulan, nanti tempo diperpanjang. Nah dalam pengajuannya, temponya diperpanjang cuma begitu selesai skip cicilannya, setoran bulanan ditambah juga, sehingga angka di akhir malah lebih besar jatuhnya,"" jelas Wiwit.""Mau kita kan nggak ada perubahan skema, libur bayar ya libur aja,"" ungkapnya.Driver taksi online juga mengeluhkan pembagian BLT. Klik halaman selanjutnya. 

",finance
337,"Dear Tenaga Medis, Begini Cara Pencairan Bonus dari Pemerintah","Pemerintah menyiapkan insentif untuk tenaga kesehatan yang merawat pasien virus Corona (COVID-19). Insentif itu disediakan lewat refocusing Dana Alokasi Khusus (DAK) Non Fisik ke anggaran Bantuan Operasional Kesehatan (BOK).Kementerian Keuangan (Kemenkeu) melalui Direktorat Jenderal (Dirjen) Perimbangan Keuangan telah menaikkan anggaran BOK tersebut dari Rp11,67 triliun menjadi Rp15,29 triliun. Dengan adanya BOK tambahan, Kemenkeu telah menyiapkan anggaran Rp3,7 triliun untuk 99.660 Nakes.Adapun mekanisme pengalokasian Dana BOK tambahan ini berdasarkan usulan Kementerian Kesehatan dengan menggunakan basis data berupa jumlah nakes per daerah sesuai spesialisasi.Target Nakes adalah yang berada di Rumah Sakit Umum Daerah (RSUD) milik Pemerintah atau Swasta, Pusat Kesehatan Masyarakat (Puskesmas), Laboratorium Kesehatan Daerah (Labkesda), serta personel dinas kesehatan yang melakukan penanganan COVID-19.Saat ini, mekanisme pemberian insentif kepada nakes dari mulai pengusulan hingga pencairan telah ditetapkan dan siap untuk dijalankan, dengan urutan mekanisme sebagai berikut:Pertama, RSUD, RS Swasta, dan Puskesmas mengusulkan insentif kepada Dinas Kesehatan (Dinkes).Kedua, Dinkes akan mengajukan usulan tersebut kepada Tim Verifikasi Kemenkes (Badan Pengembangan dan Pemberdayaan Sumber Daya Manusia (PPSDM Kesehatan).Ketiga, tim verifikator akan menyampaikan rekomendasi atau hasil verifikasi kepada Kemenkeu.Keempat, setelah Kemenkeu menerima hasil verifikasi, data akan diteliti ulang kemudian dana insentif Nakes akan disalurkan dari RKUN (Rekening Kas Umum Negara) ke RKUD (Rekening Kas Umum Daerah).Kelima, Pemerintah Daerah akan menyalurkan dana insentif dari RKUD ke rekening masing-masing Nakes dengan mengacu pada mekanisme yang ditetapkan oleh Pemda setempat.Keenam, Sebagai bentuk akuntabilitas dan tata kelola anggaran atas pelaksanaan pembayaran insentif tenaga kesehatan di daerah, Pemda akan melaporkan realisasi Dana BOK Tambahan. Laporan dibuat dalam format sederhana dan hanya dibuat satu kali, yaitu pada akhir tahun anggaran 2020.",finance
338,"Dear Wishnutama, Pramuwisata Menanti Kepastian Kartu Pra Kerja","Di tengah corona, Kartu Pra Kerja dijanjikan oleh Kemenparekraf untuk membantu pekerja industri. Hingga kini, pramuwisata pun masih menanti kejelasan.Untuk membantu para pekerja industri pariwisata yang terdampak corona, Kemenparekraf hingga DPR mengeluarkan anggaran darurat berjumlah 1 triliun rupiah. Hal itu menurut Wakil Ketua Komisi X DPR RI Pendidikan dan Pariwisata, Dede Yusuf dalam Webinar yang diadakan oleh Indonesian Food & Beverage Executive Association (IFBEC) dan Perhimpunan Hotel dan Restoran Indonesia (PHRI) pada Kamis lalu (9/4).Diungkapkan olehnya, selama masa pandemi ada beberapa fase yang akan masyarakat lalui. Fase yang pertama, yaitu yang sekarang sedang dialami berupa tanggap darurat.""Untuk tanggap darurat saat ini realokasi untuk anggaran yang diambil pariwisata adalah 500 miliar untuk memberikan pelatihan-pelatihan pekerja pariwisata untuk masa kosong seperti ini dan mendukung kartu pra kerja dari karyawan PHK atau pekerja honorer yang mendapat uang harian,"" kata Dede.Sementara itu, pada Selasa (7/4) Deputi Industri dan Investasi Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf), Fajar Utomo, mengatakan bahwa Kemenparekraf menjaring 55 ribu-80 ribu tambahan orang untuk mendapatkan Kartu Pra Kerja. Ia optimistis bisa segera menambah 120 ribu orang lagi untuk bisa didaftarkan ke dalam Kartu Pra Kerja.Sekilas, anggaran darurat berjumlah hingga 1 triliun rupiah hingga Kartu Pra Kerja yang dijanjikan pemerintah dan lembaga terkait memang cukup menjanjikan. Hanya bagi kalangan pramuwisata dan tour leader, masih membingungkan.Sementara itu, pada Selasa (7/4) Deputi Industri dan Investasi Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf), Fajar Utomo, mengatakan bahwa Kemenparekraf menjaring 55 ribu-80 ribu tambahan orang untuk mendapatkan Kartu Pra Kerja. Ia optimistis bisa segera menambah 120 ribu orang lagi untuk bisa didaftarkan ke dalam Kartu Pra Kerja.""Kemenparekraf menawarkan Kartu Pra Kerja, tapi kami kan terus terang masih bingung. Apa itu kartu Pra Kerja? Karena apa yang ada di benak teman-teman adalah uang cash BLT, Bantuan Langsung Tunai, tapi itukan kayaknya gak mungkin,"" ujar Ketua DPP Himpunan Pramuwisata (HPI) Jakarta, Revalino Tobing atau akrab disapa bang Lino pada detikcom via sambungan telepon, Senin (20/4/2020).Lino pun mengatakan, kalau pihaknya dan pengurus pusat telah mendaftarkan seluruh pramuwisata dan tour leader yang terdampak virus corona ke Kemenparekraf. Hanya belum ada kejelasan.""Sementara Kemenparekraf minta pada DPP Pusat, daftar nama anggota lengkap dengan NIKnya penduduk KTP lain-lain. Itu sdah kami kumpulkan hampir 10 ribu orang. Karena anggota seluruh Indonesia hampir 12 ribuan. Sudah kita berikan, tapi gak ada kabar,"" ujar Lino.Hanya diakui Lino, sudah ada perwakilan dari Kemenparekraf yang telah mengontaknya untuk memberi bantuan lewat program yang disebutnya padat karya. Hanya dalam pelaksanaannya, masih sulit bagi para pramuwisata.""Masalahnya program padat karya kami ini kan pahamnya hanya pariwisata. Kami ini pemandu wisata, teman-teman juga gak semuanya punya bakat yang sama. Tahunya hanya cerita storytelling dan lain-lain. Nah, jadi tawaran atupun kalau ditanya kira-kira program apa untuk padat karya kami masih bingung,"" urai Lino.Dijabarkan Lino, program padat karya itu bervariasi dari pelatihan hingga bidang agrikultur. Hanya dirasa Lino, masih kurang tepat.""Kecuali kalau pelatihan yang untuk meningkatkan kemampuan sang guide, kami bisa. Tapi itu pun gak semua jadi pengajar, karena dia konsepnya semua jadi pengajar. Kalau semua jadi pengajar siapa yang jadi murid? Kami ditawarkan juga untuk agrowisata, suruh naneem-nanem. Kami di Jakarta mana ada yang punya lahan,"" ujar Lino.Sebagai penyambung keindahan pariwisata Indonesia di garda terdepan, Lino yang mewakili pramuwisata dan para tour leader merasa masih kurang mendapat perhatian dari para pemangku kepentingan. Khususnya di saat sulit seperti ini.""Sementara yang menunggu ini teman-teman se-Indonesia 12 ribu orang lebih, itu baru guide doang. Karena kami merasakan pariwisata dari segala sektor kan kami penyumbang devisa kedua terbesar di Indonesia dan jumlahnya tak sedikit. Kalau kami mati suri yang hilang uang negara pun jauh lebih banyak lagi,"" pungkas Lino.Sebagai penyambung keindahan pariwisata Indonesia di garda terdepan, Lino yang mewakili pramuwisata dan para tour leader merasa masih kurang mendapat perhatian dari para pemangku kepentingan. Khususnya di saat sulit seperti ini.Pada akhirnya, Lino pun menanti ketegasan dari para pemangku kepentingan di pucuk tertinggi industri pariwisata seperti Kemenparekraf untuk memperhatikan para bawahannya.""Karena pada intinya pariwisata tergantung pucuk pimpinan kota atau negaranya. Kalau pariwisata ini benar-benar penting, mereka harus ingat kalau indonesia itu kaya sekali seni tradisi budaya, mereka datang ke indonesia mereka perlu guide. Supaya tahu lebih dalam lagi apa yang kita punya,"" tutup Lino.Di masa sulit ini, Lino dengan kapasitasnya sebagai ketua DPD HPI Jakarta pun terus memberi wejangan positif bagi para rekan-rekannya yang masih sama-sama berjuang. Hanya itu saja yang tersisa, entah untuk berapa lama",travel
339,"Delisting Sukarela, Bye-bye Saham Pengelola SCBD","PT Danayasa Arthatama Tbk (SCBD) hari ini resmi melakukan delisting. Itu artinya sejak hari ini saham SCBD tidak lagi tercatat di pasar modal.Perusahaan pengelola dan pengembang kawasan niaga terpadu Sudirman Central Business District (SCBD), memang mengajukan voluntary delisting atau menghapus sahamnya dari pasar modal secara sukarela.Voluntary delisting sendiri berbeda dengan force delisting atau penghapusan saham secara paksa oleh PT Bursa Efek Indonesia. Force delisting biasanya dilakukan lantaran emitennya bermasalah, seperti sahamnya disuspensi selama 2 tahun dan tidak ada itikad dari manajemen untuk memperbaiki penyebab sahamnya disuspensi.SCBD sendiri sudah lama berniat melakukan voluntary delisting. Perusahaan baru mengirimkan surat pada 3 April 2020 perihal permohonan voluntary delisting.Perusahaan dinyatakan sudah memenuhi persyaratan sebagaimana diatur dalam Ketentuan III.2 Peraturan Pencatatan No I-I tentang Penghapusan Pencatatan (Delisting) dan Pencatatan Saham Kembali (Relisting).BEI pun menyetujui penghapusan pencatatan efek PT Danayasa Arthatama Tbk dengan kode perdagangan SCBD dari Bursa Efek Indonesia efektif pada hari Senin tanggal 20 April 2020.Dengan dicabutnya status perseroan sebagai Perusahaan Tercatat (delisting) maka SCBD tidak lagi memiliki kewajiban sebagai perusahaan tercatat dan BEI akan menghapus nama perseroan dari daftar perusahaan tercatat yang mencatatkan sahamnya di bursa efek Indonesia.Namun persetujuan penghapusan pencatatan efek perseroan ini tidak menghapuskan kewajiban-kewajiban yang belum dipenuhi oleh Perseroan selama masih menjadi perusahaan tercatat jika hal itu masih ada.",finance
340,Delta Rugi Rp 8 Triliun Gara-gara Corona,"Delta Air Lines mencatat rugi US$ 534 juta setara Rp 8 triliun (kurs Rp 15.500/ dolar AS) dalam tiga bulan pertama tahun ini. Kerugian pada kuartal pertama ini menjadi yang terparah dalam lima tahun terakhir.Delta menjadi maskapai pertama yang melaporkan kerugian akibat krisis virus Corona. Rugi sebelum pajak dan lain-lain tercatat US$ 326 juta (Rp 5 triliun), dibandingkan dengan laba tahun lalu sebesar US$ 639 juta (Rp 9,9 triliun). Pendapatan di kuartal ini turun US$ 1,9 miliar (Rp 29 triliun) dibandingkan tahun lalu, menurun 18%. Maskapai mengatakan kerugiannya belum termasuk kerugian pada barang-barang lainnya.""Kerugian pada kuartal pertama 2020 benar-benar belum pernah terjadi dalam sejarah kami,"" kata CEO Delta Air Lines, Ed Bastian. Dilansir dari CNN, Kamis (23/4/2020).Delta memperkirakan kerugian saat ini hanya peringatan awal di krisis saat ini. Maskapai memprediksi pendapatannya bisa anjlok 90% dan akan terus mengalami kekurangan permintaan perjalanan pada tahun berikutnya.""Kami semua berharap dapat memprediksi laju pemulihan, namun pemulihan akan ditentukan oleh konsumen yang merasa baik secara fisik dan finansial, untuk memulai perjalanan lagi,"" kata Bastian.""Mengingat efek dari pandemi berdampak pada finansial dan ekonomi global. Kami memprediksi kondisi saat ini akan terus terjadi pada tiga tahun mendatang,"" lanjut BastianDelta dan maskapai lain telah memangkas jadwal penerbangan mereka pada awal tahun ini dan sebagian juga telah memarkirkan pesawat mereka.Kerugian Delta lebih kecil dari perkiraan kerugian oleh analis Wall Street yang disurvei oleh Refinitiv. Setiap maskapai AS diperkirakan akan melaporkan kerugiannya di tiga bulan pertama tahun ini.",finance
341,"Demi Beli Beras, Pria Ini Jual HP Bekas Rp 10 Ribu Saja!","Seorang pria di Batam kehabisan uang untuk membeli bahan makanan. Akhirnya ia menjual ponsel bekasnya seharga Rp 10.000 untuk membeli beras. Bagaimana kisahnya?Seorang pria di Batam menarik perhatian netizen beberapa waktu lalu. Pasalnya pria tersebut kehabisan uang untuk membeli bahan makanan. Kisahnya ini dibagikan lewat portal berita setempat dan diunggah oleh seorang netizen di Twitter.Akun bernama @elsyandria membagikan kisah pria tersebut pada 15 April 2020 lalu. Sampai berita ini dituliskan sudah ada lebih dari 52.800 likes dan 24.200 retweets. Ia menuliskan keterangan, ""Hatiku tersentuh, hancur.""Lewat akun tersebut diketahui kalau pria tersebut bernama Ason Sopian. Ason tinggal bersama 5 orang anaknya yang masih kecil dan istrinya. Mereka hidup dalam kemiskinan, bahkan dari kelima anaknya tidak ada satupun yang bersekolah. Mereka diketahui tinggal di Sei Pelenggut, Sagulung, Batam.Baca Juga: Inspiratif! Kisah Orang Tua yang Bagikan Makanan Warteg di Depan Rumah Selama pandemi COVID-19 ini Ason tidak dapat bekerja. Sehari-harinya Ason merupakan buruh yang pekerjaannya tidak tetap. Ia pernah bekerja di bengkel namun sekarang tidak lagi.Istrinya bekerja sebagai penjual tempe untuk membantu perekonomian. Namun upah yang istrinya dapatkan hanya Rp 1 juta per bulannya. Itu pun tak berhasil mencukupi kebutuhan hidup mereka.Karena itulah Ason tidak memiliki uang dan harus menjual ponsel bekas miliknya demi membeli beras. Ia berjalan keliling dari rumah ke rumah untuk menawarkan ponsel bekasnya yang telah rusak seharga Rp 10.000. Ason melakukan hal tersebut karena tidak ingin kelima anaknya kelaparan.Kisahnya yang viral ini menggerakkan hati banyak pihak. Mereka mendapatkan banyak bantuan dari banyak pihak termasuk Dinas Sosial setempat berupa sembako.Baca Juga: Nyinyir Bantuan Sembako dari Pemprov Jakarta, Emak-Emak Ini Diserbu Netizen ",food
342,"Demi Cuan, Pengusaha Rusia jadi Kurir Makanan Saat Lockdown","Sergei Nochovnyy mengantarkan makanan kepada warga dengan latar belakang gedung-gedung di Moskow, Rusia.",finance
343,"Demi Halau Corona, Rumah Makan Tak Layani Makan Ditempat","Warga membeli makanan di warteg kawasan Pasar Minggu, Jakarta, Rabu (22/4/2020).Â ",finance
344,"Demi Memberi Makan Kucing Jalanan, Pria Ini Rela Berpuasa","Peduli dengan sesama makhluk hidup, seorang pria ini rutin memberikan makan kucing jalanan. Iapun rela berpuasa demi mereka.Melalui unggahan di twitter, seorang netizen @rebornblessing menceritakan kisah yang mengharukan, yaitu tentang seorang pria yang rutin memberikan makanan kepada kucing jalanan di sekitar perumahan.Pria tersebut adalah Ace yang merupakan seorang satpam yang bertugas di komplek perumahan kawasan Tebet Barat, Jakarta Selatan. Netizen itu menceritakan bahwa saat ia sedang berjalan menuju pasar ia bertemu dengan Ace yang tengah sibuk memberi makan kucing.Ternyata Ace selalu memberi makan untuk kucing-kucing jalanan. Untuk melakukan itu, Ace menggunakan uangnya sendiri.""Kalau saya ada uang, saya memang kasih. Kalau uangnya sedikit, ya saya puasa, mereka yang makan. Kalau gak ada uang, ya kita sama-sama puasa,"" ujar Ace seperti yang dikutip dari tweet @rebornblessing (05/04).Baca Juga : Kreatif! Pemilik Kucing Bikin Plating Makanan untuk 2 KucingnyaLebih lanjut, Ace juga menjelaskan jenis makanan yang diberikan untuk kucing-kucing jalanan, yaitu seperti ayam, nasi hingga ikan tongkol.Unggahan netizen itu langsung menjadi viral dan menarik perhatian netizen lainnya. Banyak netizen yang merasa kaum sekaligus terharu dengan kebaikan pria tersebut. Tak sedikit pula netizen lain yang mengenali Ace sebagai sosok yang baik hati.Melihat unggahan tersebut, ada pula dari netizen yang melakukan kebaikan yang sama. Hal tersebut banyak diceritakan saat mengomentari unggahan.""Wah di deket rumah juga ada yang gini ini. Ibu-ibu tiap pagi beli pindang terus dibagikan ke kucing sekitaran situ. Pantes aja kucingnya montok-montok,"" tulis salah satu netizen.""Beberapa hari ini juga di kostku ada kucing yang ngikutin mulu terus sambil ngeong-ngeong... sumpah memelas banget mukanya... karena kasihan gue kasih deh susu sama biskuit,"" tulis netizen lainnya.Baca Juga : Beri Makan Kucing Kelaparan, Pria Ini Ditraktir Makan Orang Tak Dikenal ",food
345,Dendeng Cripsy Indud: Mantap Pedas! Dendeng Crispy dan Dendeng Moisty Medan,"Banyaknya pilihan makanan online membuat menu makanan di rumah semakin beragam. Salah satunya bisa coba dendeng crispy dan dendeng moisty Medan di sini.Kini sedang ngetren masakan rumahan yang dikemas sebagai frozen food praktis dan bisa dikirim ke mana saja seperti Dendeng Crispy Indud.Baca Juga: Paru Aceh Lady : Pedas Mantap! Oseng Paru Aceh dan Iga Sapi Balado Dendeng Crispy Indud awalnya berjualan di Pasar Santa, Jakarta Selatan. Tapi untuk sementara ini Dendeng Crispy Indud menyediakan menu frozen food yang tak kalah enak. Hidangan utamanya ada dendeng crispy dan olahan daging lainnya menggunakan resep rahasia keluarga dari Medan.Dendeng Crispy Indud juga memiliki followers lebih dari 20,8 ribu di Instagram, kami semakin penasaran dengan rasa makanannya. Akhirnya kami memesan Dendeng Crispy Indud (Rp 80.000 / 125gram), Cumi Balado (Rp 40.000 / 125gram), dan Dendeng Basah (Rp 50.000 / 125 gram). Kami pesan lewat toko online dan makanan dikirim keesokan harinya menggunakan kurir jasa kirim.Semua makanan dikemas rapih dan divakum hingga kualitasnya terjamin. Makanan ini bisa bertahan hingga satu bulan jika disimpan di dalam freezer dan 7 hari di suhu ruangan.Cara menghangatkannya cukup mudah, bisa menggunakan wajan dengan api kecil selama 3-5 menit. Atau bisa juga dihangatkan di microwave selama 5 menit.Pertama kami langsung mencoba Dendeng Crispy Indud dengan sambal terpisah. Dendeng crispy ini bisa dicampur langsung dengan sambal atau disajikan terpisah sesuai selera. Dendeng dipotong kotak dan teksturnya sangat renyah mirip seperti keripik.Berbeda dengan dendeng balado khas Minang, dendeng crispy milik Indud lebih kering dan gurih. Serat dagingnya tetap terasa dan rasanya semakin enak ketika dioseng dengan sambal bawang khas Medan yang terasa pedasnya.Tentunya dendeng crispy ini tak lengkap tanpa kehadiran nasi putih hangat. Tekstur sambalnya masih kasar dengan gerusan cabai merah dan bawang yang terasa, sengatan pedasnya menambah sensasi baru dengan kriuk renyah dari dendeng ini. Oh ya, dendeng crispy ini juga enak lho dijadikan camilan.Karena spesialis dendeng, Indud juga punya menu andalan lainnya yaitu Dendeng Moisty atau dendeng basah. Di sini Indud menggunakan daging sapi has dalam tanpa lemak dengan potongan yang besar.Sama seperti dendeng crispy, dendeng moisty ini menggunakan sambal bawang Medan yang pedas. Bedanya dendeng moisty ini dimasak langsung dengan sambal bawang yang sedikit berminyak, sehingga rasa pedasnya ini lebih terasa karena menyerap hingga ke bagian dalam daging.Untuk tekstur dagingnya sangat empuk dan sama sekali tidak alot. Dendeng juga tidak mudah hancur dan dilengkapi dengan irisan cabe keriting yang menambah selera makan dengan jejak rasa dari halusan bawang putih.Terakhir ada Cumi Balado yang jadi salah satu menu terbaru di Dendeng Crispy Indud. Menggunakan cumi kecil yang sebelumnya direbus lebih dulu, tekstur cumi tidak amis dan pahit karena menggunakan rempah daun salam hingga lengkuas.Sambalnya menggunakan bumbu balado yang hampir mirip dengan sambal bawang di dendeng. Hanya saja rasa sambal balado ini lebih terasa cabenya dan sedikit manis. Tiga menu masakan rumahan dari Dendeng Crispy Indud ini bisa menjadi alternatif menu praktis untuk buka puasa atau sahur.Bagi yang tertarik untuk mencobanya, Dendeng Crispy Indud bisa dipesan lewat Instagram @dendengcrispyindud. Toko Online Shopee dan Tokopedia, serta di layanan aplikasi ojek online.Baca Juga: Donuthing! : Ngemil Donat Kekinian yang Empuk dengan Lumeran Cokelat Dendeng Crispy IndudPasar Santa, Lantai 1, Jl. Cipaku I, Senopati, Jakarta Selatan.No Telp: +62 813 16164074â¬Instagram: @dendengcrispyindud",food
346,Dengar Jerit Pengusaha dan Sopir Bus Pariwisata di Tengah Corona,"Penyebaran virus Corona (COVID-19) berdampak pada keberlangsungan hidup masyarakat di Indonesia. Matinya berbagai aktivitas ekonomi menyebabkan masyakat sulit mencari nafkah untuk membiayai keperluan sehari-hari. Begitulah yang dirasakan oleh dua orang WNI yang berkecimpung di industri pariwisata, yakni Yohanes Susanto dan Adi Munadi.Yohanes yang merupakan pengusaha bus pariwisata menceritakan, sejak 16 Maret 2020 lalu perusahaannya PT Laba Dapet Sejahtera yang memiliki 25 unit bus pariwisata merana akibat Corona. Terutama ketika pemerintah melarang kunjungan ke tempat wisata, menerapkan PSBB, dan juga melarang mudik.""Saat ini semua unit kami tidak bisa beroperasi,"" ungkap Yohanes kepada detikcom, Rabu (22/4/2020).Akibatnya, perusahaannya tak memperoleh pemasukan. Sementara, biaya operasional perusahaan sangatlah besar, seperti biaya perawatan bus, dan juga gaji karyawan yang jumlahnya mencapai 75 orang. Padahal, di bulan Maret-Mei mendatang ia sudah berharap-harap akan mendapat pesanan banyak seperti periode yang sama di tahun-tahun sebelumnya. Pasalnya, bulan-bulan tersebut bertepatan dengan liburan sekolah serta musim mudik Lebaran.""Seharusnya saat ini kami sedang menuai penghasilan dikarenakan bulan Maret-Mei adalah bulan peak season serta menjelang Lebaran untuk mendapatkan order, akan tetapi saat ini sirna, hilang begitu saja,"" kata Yohanes.Ia membeberkan, perusahaannya sudah memberikan bantuan langsung kepada para pegawai, serta memastikan gaji tetap diberikan. Namun, ia tak tahu sampai kapan hal ini bisa dipertahankan melihat begitu banyak kewajiban perusahaan seperti cicilan kredit bus, dan sebagainya. Ia merasa, pemerintah hanya memanjakan ojek online (ojol) dengan memberikan bantuan khusus kepada drivernya.""Seolah pemerintah hanya peduli pada ojol. Kami juga manusia dan Warga Negara Indonesia, kami juga memiliki keluarga. Dan pada umumnya semua karyawan sekarang harus wajib memiliki sertifikasi kompentensi yang di akui oleh negara sertifikat dan kemampuannya, akan tetapi mengapa hanya ojol saja yang di perhatikan,"" urai Yohanes.Selain Yohanes, Adi Munadi yang berprofesi sebagai supir freelance dari armada pariwisata juga merasakan ketikdakadilan yang serupa. Buka halaman berikutnya untuk cerita lebih lengkap. 

",finance
347,Deretan 'Kota yang Tak Pernah Tidur' Ini Tengah Berjibaku Lawan Corona,"Jakarta - Sejumlah kota ini kerap disebut kota yang tak pernah tidur karena aktivitas warganya yang tak henti. Namun kini warga di kota itu tengah berjibaku lawan Corona.Kota New York di Amerika Serikat jadi salah satu negara yang terkenal dengan julukan 'Kota Tak Pernah Tidur' di dunia. Aktivitas warga seakan tak pernah henti dilakukan di kota tersebut baik di pagi hari maupun di malam hari. AP Photo/J. David Ake, File. Â ",travel
348,"Deretan Bisnis yang Bikin Cuan di Tengah Corona, Apa Saja?","Penyebaran COVID-19 di Indonesia menurunkan aktivitas perekonomian. Masyarakat harus banyak berdiam diri di rumah karena adanya aturan pembatasan sosial berskala besar (PSBB). Bahkan banyak perusahaan yang merumahkan pegawainya untuk menekan biaya operasional.Namun pandemi Corona tidak melulu memberikan dampak negatif, melainkan ada dampak positif seperti peluang membuka usaha kecil-kecilan.Pengamat Bisnis, Rhenald Kasali menyebutkan ada beberapa potensi peluang bisnis yang bisa dimanfaatkan oleh masyarakat di tengah pandemi Corona.Bahkan modal untuk menjalankan usaha ini sangat kecil karena tipsnya tersedia banyak di YouTube.""Semua orang sekarang prioritasnya adalah survive, modal yang paling utama adalah dari dapur sendiri, dari kebun sendiri, bisa juga dari YouTube,"" kata Rhenald saat dihubungi detikcom, Jakarta, Kamis (23/4/2020).Rhenald menyebut beberapa usaha yang bisa dimanfaatkan masyarakat adalah berjualan via grup WhatsApp. Produk yang dijual bisa bahan makanan maupun makanan jadi. Pangsa pasarnya bisa para tetangga.""Jadi nggak perlu website, dan nggak perlu alat pembayaran, umumkan saja bisnis di WhatsApp group,"" jelasnya.Selanjutnya, kata Rhenald adalah bisnis yang berkaitan dengan kebutuhan di sektor kesehatan, mulai dari masker, alat pelindung diri (APD), dan hand sanitizer. 

",finance
349,Deretan Foto Lapas Wakefield Tempat Reynhard Sinaga Dipenjara,"Jakarta - Reynhard Sinaga, WNI yang dijuluki pemerkosa terburuk di Inggris, dipindahkan ke penjara Wakefield. Penjara itu gedung kuno yang dioperasikan sejak 1594.Lapas Wakefield di tahun 2004. Foto itu diambil saat dr Harold Shipman tewas gantung diri, Shipman dinyatakan bersalah setelah terbuktimenyuntik mati 15 pasien perempuan.Â (Getty Images/Michael Steele)",travel
350,Deretan Politisi yang Kena Masalah Akibat Bepergian Saat Corona,"Di tengah corona, sejatinya para politisi dan pemimpin dunia memberi contoh yang baik. Namun, sejumlah politisi ini malah kena kena semprot karena bepergian.Tak sedikit para pemimpin dunia yang mengimbau warganya untuk mengkarantina diri demi menekan jumlah penyebaran virus corona di dunia. Hanya walau aturan itu diberikan oleh sekelas politisi, menteri hingga pemimpin negara, toh ada saja yang melanggar.Dalam kondisi yang penuh ketidakpastian ini, ada sejumlah nama pemimpin dunia yang harus menghadapi murka warganet karena kedapatan jalan-jalan hingga berkeliaran di tengah pandemi corona. Dikumpulkan detikcom dari berbagai sumber, Sabtu (18/4/2020), berikut beberapa di antaranya:Menteri Kesehatan Selandia BaruSelandia Baru jadi salah satu negara di dunia yang menerapkan aturan lockdown untuk mencegah penyebaran virus corona. Sayang, aturan itu malah dilanggar sendiri oleh Menkes Selandia Baru, David Clark.Diberitakan media BBC, Menkes Clark diketahui mengaku berkunjung ke Pantai Doctor's Point di Dunedin bersama keluarganya akhir Maret lalu. Menyadari kesalahannya sebagai seorang figur masyarakat, Clark pun mengajukan permohonan mundur sebagai bentuk tanggung jawabnya pada Perdana Menteri Selandia Baru, Jacinda Ardern.Beruntung, PM Jacinda masih mempertahankan Clark atas dasar kebutuhan negara yang berada dalam peperangan melawan corona. Dijelaskan, kalau Clark sangat berpeluang dipecat dari jabatannya apabila negara dalam kondisi normal.Kepala Medis SkotlandiaKepala Medis Skotlandia Catherine Calderwood mengundurkan diri pada Minggu (5/4), setelah dia melanggar sendiri aturan #dirumahaja yang dibuatnya untuk mencegah penyebaran virus Corona.""Dengan berat hati saya mengumumkan bahwa saya mengundurkan diri sebagai kepala petugas medis,"" ujar Catherine Calderwood seperti dikutip Asia One.Sebelumnya, Catherine diketahui bepergian dua kali dari Edinburgh ke rumah keluarganya di Fife setelah mengeluarkan imbuaan #dirumahaja.Istri PM JepangBaru-baru ini, istri PM Jepang Shinzo Abe sempat dikritik habis oleh warganet setempat. Alasannya setelah muncul laporan bepergian sang istri, Akie Abe, ke sebuah kuil di Jepang pada 15 Maret 2020 lalu. Momen kepergiannya persis dua minggu setelah Abe mengeluarkan imbauan untuk #dirumahaja.Dikutip dari asiaone, Akie menjadi trending topik di Twitter Jepang. Di mana namanya di-retweets lebih dari 17 ribu kali sampai dini hari. Akie pun jadi sasaran kritikan di media sosial.""Sekolah-sekolah ditutup, tapi istri perdana menteri tampaknya punya banyak waktu. Anak-anak tak bisa kemana-mana. Ini memalukan buat Jepang,"" bunyi salah satu kritik di media sosial.Juru bicara Abe untuk parlemen belum mau berkomentar tentang hal ini. Juru bicara Akie juga memilih bungkam.Tak hanya di luar negeri, setiap pemimpin negara di mana pun memang dituntut disiplin dan proaktif di tengah pandemi corona. Salah sedikit, cercaan warganet siap menghampiri.",travel
